상권_코드_명,기준_년분기_코드,당월_매출_금액
다산성곽길,20204,121803138
다산성곽길,20224,704534994
다산성곽길,20232,299379292
다산성곽길,20233,51285532
다산성곽길,20234,534651669
백학시장,20191,10190837785
백학시장,20192,10709988687
백학시장,20193,10132700367
백학시장,20194,11578716722
백학시장,20201,10912726763
백학시장,20202,12335186157
백학시장,20203,12418685877
백학시장,20204,11578974244
백학시장,20211,10766105390
백학시장,20212,13981364261
백학시장,20213,13707091229
백학시장,20214,15598580141
백학시장,20221,13878906161
백학시장,20222,17087105878
백학시장,20223,16447697850
백학시장,20224,17780989560
백학시장,20231,15828313415
백학시장,20232,17761844855
백학시장,20233,16259385974
백학시장,20234,17145561916
버티고개,20193,15000000
버티고개,20202,15000000
버티고개,20204,30000000
버티고개,20211,45000000
버티고개,20212,45000000
버티고개,20213,30000000
버티고개,20214,30000000
버티고개,20221,15000000
버티고개,20222,30000000
버티고개,20223,45000000
버티고개,20224,45000000
버티고개,20231,15000000
버티고개,20232,45000000
서울중앙시장(신중앙시장),20191,18493343403
서울중앙시장(신중앙시장),20192,20436456170
서울중앙시장(신중앙시장),20193,22183583044
서울중앙시장(신중앙시장),20194,26325680751
서울중앙시장(신중앙시장),20201,17614503442
서울중앙시장(신중앙시장),20202,29918450882
서울중앙시장(신중앙시장),20203,25017799251
서울중앙시장(신중앙시장),20204,23847083421
서울중앙시장(신중앙시장),20211,19892668958
서울중앙시장(신중앙시장),20212,26309569239
서울중앙시장(신중앙시장),20213,25623595822
서울중앙시장(신중앙시장),20214,28771290707
서울중앙시장(신중앙시장),20221,26421675806
서울중앙시장(신중앙시장),20222,29346843048
서울중앙시장(신중앙시장),20223,33540328682
서울중앙시장(신중앙시장),20224,34489877711
서울중앙시장(신중앙시장),20231,31589270938
서울중앙시장(신중앙시장),20232,36315508314
서울중앙시장(신중앙시장),20233,38759553509
서울중앙시장(신중앙시장),20234,32357585191
신당역,20191,22687813410
신당역,20192,22248450167
신당역,20193,20628981766
신당역,20194,27210045650
신당역,20201,21274296389
신당역,20202,21616255409
신당역,20203,23524948101
신당역,20204,22165413614
신당역,20211,20212523313
신당역,20212,25733720921
신당역,20213,22501538244
신당역,20214,29718538703
신당역,20221,21833027635
신당역,20222,27172453200
신당역,20223,27814162807
신당역,20224,31744233417
신당역,20231,29997896253
신당역,20232,33006530176
신당역,20233,30093267224
신당역,20234,34554655572
약수시장,20191,9889045423
약수시장,20192,10134344686
약수시장,20193,10123896235
약수시장,20194,10264741086
약수시장,20201,11027747312
약수시장,20202,10468248954
약수시장,20203,9906305915
약수시장,20204,8666192780
약수시장,20211,8356669605
약수시장,20212,7331782050
약수시장,20213,8396908974
약수시장,20214,8040828755
약수시장,20221,7446851530
약수시장,20222,7961515584
약수시장,20223,7852859068
약수시장,20224,7912355581
약수시장,20231,6904769321
약수시장,20232,6927371889
약수시장,20233,7537016435
약수시장,20234,7937070551
약수역,20191,37438693379
약수역,20192,39555051189
약수역,20193,39691419649
약수역,20194,43713952500
약수역,20201,41296626470
약수역,20202,43617123768
약수역,20203,43156859201
약수역,20204,40140148725
약수역,20211,37087792080
약수역,20212,42179231432
약수역,20213,41728863066
약수역,20214,44554283448
약수역,20221,42199709320
약수역,20222,45852324094
약수역,20223,49320016064
약수역,20224,50114188898
약수역,20231,48153940959
약수역,20232,51645575035
약수역,20233,50192761893
약수역,20234,49771080280
약수역 7번,20191,823285655
약수역 7번,20192,793061976
약수역 7번,20193,797659685
약수역 7번,20194,942415911
약수역 7번,20201,825906594
약수역 7번,20202,715920972
약수역 7번,20203,756207525
약수역 7번,20204,777085554
약수역 7번,20211,745485350
약수역 7번,20212,738162847
약수역 7번,20213,685614315
약수역 7번,20214,873184600
약수역 7번,20221,777730985
약수역 7번,20222,1000622748
약수역 7번,20223,977681151
약수역 7번,20224,1229580723
약수역 7번,20231,1192554073
약수역 7번,20232,1538428857
약수역 7번,20233,1287943438
약수역 7번,20234,1466639322
장충단 고개,20191,1285645260
장충단 고개,20192,1646326893
장충단 고개,20193,1465453948
장충단 고개,20194,1501933060
장충단 고개,20201,1406773263
장충단 고개,20202,1689554929
장충단 고개,20203,1418711543
장충단 고개,20204,2042428553
장충단 고개,20211,1530245172
장충단 고개,20212,1613848093
장충단 고개,20213,2186812933
장충단 고개,20214,3438501899
장충단 고개,20221,3196505747
장충단 고개,20222,3485203653
장충단 고개,20223,3595640134
장충단 고개,20224,3899048033
장충단 고개,20231,3495991901
장충단 고개,20232,2657051406
장충단 고개,20233,2402637729
장충단 고개,20234,2636737583
장충동주민센터,20191,6629849025
장충동주민센터,20192,6324804005
장충동주민센터,20193,5647066343
장충동주민센터,20194,7336277637
장충동주민센터,20201,2509913799
장충동주민센터,20202,3692920774
장충동주민센터,20203,2850635262
장충동주민센터,20204,4082903631
장충동주민센터,20211,3184432242
장충동주민센터,20212,2317253420
장충동주민센터,20213,1262593165
장충동주민센터,20214,1117242984
장충동주민센터,20221,2585184167
장충동주민센터,20222,1396735803
장충동주민센터,20223,2946923268
장충동주민센터,20224,2079439532
장충동주민센터,20231,5265876355
장충동주민센터,20232,2503158764
장충동주민센터,20233,1048182269
장충동주민센터,20234,1939157028
장충초등학교,20191,1612459158
장충초등학교,20192,1555845658
장충초등학교,20193,1706226290
장충초등학교,20194,2973821121
장충초등학교,20201,2305112629
장충초등학교,20202,2086803755
장충초등학교,20203,3159612704
장충초등학교,20204,2807275512
장충초등학교,20211,2490889530
장충초등학교,20212,2806714599
장충초등학교,20213,2518653115
장충초등학교,20214,2810108250
장충초등학교,20221,2697973684
장충초등학교,20222,3106558275
장충초등학교,20223,3002967089
장충초등학교,20224,3298003549
장충초등학교,20231,3203296030
장충초등학교,20232,3555161391
장충초등학교,20233,4180819556
장충초등학교,20234,4371114490
청구역 1번,20191,1390885249
청구역 1번,20192,1729876604
청구역 1번,20193,1696770556
청구역 1번,20194,1710269323
청구역 1번,20201,1575709608
청구역 1번,20202,1856189287
청구역 1번,20203,1877276431
청구역 1번,20204,1869244947
청구역 1번,20211,1711717513
청구역 1번,20212,2057153085
청구역 1번,20213,2018308149
청구역 1번,20214,1997397506
청구역 1번,20221,1932220263
청구역 1번,20222,2030218383
청구역 1번,20223,2175202866
청구역 1번,20224,2464461604
청구역 1번,20231,2260507933
청구역 1번,20232,2816529953
청구역 1번,20233,2245129269
청구역 1번,20234,2718822840
청구역 3번,20191,8584862150
청구역 3번,20192,9360846301
청구역 3번,20193,9316231867
청구역 3번,20194,9663174932
청구역 3번,20201,9317760394
청구역 3번,20202,9293629838
청구역 3번,20203,8154825639
청구역 3번,20204,8063768617
청구역 3번,20211,7015218510
청구역 3번,20212,8830530674
청구역 3번,20213,9464408742
청구역 3번,20214,9546420911
청구역 3번,20221,8593252922
청구역 3번,20222,9746587710
청구역 3번,20223,8538498755
청구역 3번,20224,10189914786
청구역 3번,20231,8505224546
청구역 3번,20232,7692496499
청구역 3번,20233,11877607188
청구역 3번,20234,11710933380
