기준_년분기_코드,상권_코드_명,총_유동인구_수,MZ세대_유동인구_수
20234,백학시장,785223,317433
20234,서울중앙시장(신중앙시장),2019863,855042
20234,약수시장,414647,183437
20234,신당역,2314714,975907
20234,약수역,1040170,477059
20234,청구역 3번,1040872,514392
20234,청구역 1번,1035907,432890
20234,장충초등학교,636257,288923
20234,약수역 7번,443321,188017
20234,장충단 고개,631503,315966
20234,장충동주민센터,971594,466945
20234,다산성곽길,598690,297086
20234,버티고개,727156,320086
20233,백학시장,774224,315928
20233,서울중앙시장(신중앙시장),2044814,867370
20233,약수시장,416689,185890
20233,신당역,2205437,937612
20233,약수역,1017724,472376
20233,청구역 3번,1043509,510187
20233,청구역 1번,1110433,471586
20233,장충초등학교,620193,279675
20233,약수역 7번,449312,192125
20233,장충단 고개,630665,316742
20233,장충동주민센터,920316,435264
20233,다산성곽길,586191,288110
20233,버티고개,691418,300037
20232,백학시장,804525,324320
20232,서울중앙시장(신중앙시장),2153025,929364
20232,약수시장,433802,195125
20232,신당역,2311826,988854
20232,약수역,1038149,490084
20232,청구역 3번,1060893,529392
20232,청구역 1번,855092,355831
20232,장충초등학교,639425,293822
20232,약수역 7번,466220,199761
20232,장충단 고개,726647,373240
20232,장충동주민센터,946943,447885
20232,다산성곽길,577092,289173
20232,버티고개,737635,322491
20231,백학시장,835920,336511
20231,서울중앙시장(신중앙시장),2191040,943276
20231,약수시장,432580,194350
20231,신당역,2291973,972139
20231,약수역,1035788,486048
20231,청구역 3번,1087043,537443
20231,청구역 1번,798065,325770
20231,장충초등학교,642105,291500
20231,약수역 7번,449109,194632
20231,장충단 고개,763781,389593
20231,장충동주민센터,889308,418291
20231,다산성곽길,590942,293609
20231,버티고개,733787,315930
20224,백학시장,810541,320701
20224,서울중앙시장(신중앙시장),2195988,934322
20224,약수시장,432102,193487
20224,신당역,2346281,1007689
20224,약수역,1093077,517473
20224,청구역 3번,1054978,524410
20224,청구역 1번,1065259,456754
20224,장충초등학교,628059,289824
20224,약수역 7번,443733,190333
20224,장충단 고개,739152,381842
20224,장충동주민센터,850742,407044
20224,다산성곽길,618779,311132
20224,버티고개,753108,323188
20223,백학시장,811900,323258
20223,서울중앙시장(신중앙시장),2195330,921824
20223,약수시장,407182,183451
20223,신당역,2296055,984043
20223,약수역,1159638,548572
20223,청구역 3번,960623,464703
20223,청구역 1번,1061457,457320
20223,장충초등학교,579479,262921
20223,약수역 7번,414370,178307
20223,장충단 고개,687604,351582
20223,장충동주민센터,821941,385776
20223,다산성곽길,598269,304625
20223,버티고개,757476,327021
20222,백학시장,876560,349398
20222,서울중앙시장(신중앙시장),2275104,961899
20222,약수시장,403388,181123
20222,신당역,2627413,1130022
20222,약수역,1148637,543088
20222,청구역 3번,980926,477204
20222,청구역 1번,1105407,469346
20222,장충초등학교,592403,267449
20222,약수역 7번,402512,173050
20222,장충단 고개,722142,364774
20222,장충동주민센터,850656,392343
20222,다산성곽길,605887,309134
20222,버티고개,788467,348969
20221,백학시장,847359,336975
20221,서울중앙시장(신중앙시장),2237602,952193
20221,약수시장,410369,181980
20221,신당역,2453786,1048171
20221,약수역,1079978,496144
20221,청구역 3번,1023915,481206
20221,청구역 1번,1114946,479461
20221,장충초등학교,565644,246632
20221,약수역 7번,401341,171291
20221,장충단 고개,613576,301901
20221,장충동주민센터,843451,386009
20221,다산성곽길,582715,290561
20221,버티고개,786465,342017
20214,백학시장,920178,364734
20214,서울중앙시장(신중앙시장),2066047,879728
20214,약수시장,403452,174318
20214,신당역,2625979,1146837
20214,약수역,1086883,495587
20214,청구역 3번,1036169,489474
20214,청구역 1번,1144713,487111
20214,장충초등학교,570587,249272
20214,약수역 7번,393267,164690
20214,장충단 고개,616703,306096
20214,장충동주민센터,825609,377060
20214,다산성곽길,603369,301373
20214,버티고개,782483,337821
20213,백학시장,913591,363330
20213,서울중앙시장(신중앙시장),1884560,787780
20213,약수시장,439258,188352
20213,신당역,2445923,1063833
20213,약수역,1019420,461284
20213,청구역 3번,1004505,464464
20213,청구역 1번,1236807,523391
20213,장충초등학교,565115,243646
20213,약수역 7번,402512,168475
20213,장충단 고개,603782,291928
20213,장충동주민센터,816887,369360
20213,다산성곽길,621936,302069
20213,버티고개,801347,347655
20212,백학시장,890169,348920
20212,서울중앙시장(신중앙시장),1910948,779925
20212,약수시장,444358,186728
20212,신당역,2535966,1092940
20212,약수역,1114861,511573
20212,청구역 3번,946580,435088
20212,청구역 1번,1209732,509845
20212,장충초등학교,662854,299290
20212,약수역 7번,404737,166733
20212,장충단 고개,732440,354717
20212,장충동주민센터,832225,372927
20212,다산성곽길,626849,298412
20212,버티고개,828701,360350
20211,백학시장,878999,346042
20211,서울중앙시장(신중앙시장),1839570,748296
20211,약수시장,442635,179152
20211,신당역,2416321,1049064
20211,약수역,1092781,488615
20211,청구역 3번,1002652,457034
20211,청구역 1번,1189323,498315
20211,장충초등학교,651445,289879
20211,약수역 7번,408070,163239
20211,장충단 고개,714615,339895
20211,장충동주민센터,825931,368826
20211,다산성곽길,623798,293782
20211,버티고개,848247,363157
20204,백학시장,893456,352907
20204,서울중앙시장(신중앙시장),1779586,723233
20204,약수시장,463189,185313
20204,신당역,2462417,1080773
20204,약수역,1141395,508371
20204,청구역 3번,1012608,465224
20204,청구역 1번,1236495,522052
20204,장충초등학교,640775,285685
20204,약수역 7번,434349,171544
20204,장충단 고개,792336,379253
20204,장충동주민센터,780200,352308
20204,다산성곽길,637276,296904
20204,버티고개,802974,341219
20203,백학시장,917623,363480
20203,서울중앙시장(신중앙시장),1806187,738750
20203,약수시장,483065,194212
20203,신당역,2497567,1101567
20203,약수역,1251511,558420
20203,청구역 3번,1027656,467853
20203,청구역 1번,1233237,522936
20203,장충초등학교,662147,292375
20203,약수역 7번,459333,182364
20203,장충단 고개,844514,401330
20203,장충동주민센터,788821,358049
20203,다산성곽길,615159,296481
20203,버티고개,800937,338920
20202,백학시장,940136,366940
20202,서울중앙시장(신중앙시장),1896493,750036
20202,약수시장,486711,197752
20202,신당역,2584167,1123938
20202,약수역,1272168,572688
20202,청구역 3번,1037213,462602
20202,청구역 1번,1203152,505147
20202,장충초등학교,685194,305224
20202,약수역 7번,469763,186999
20202,장충단 고개,823142,392595
20202,장충동주민센터,837689,383976
20202,다산성곽길,600892,290556
20202,버티고개,813648,354758
20201,백학시장,943976,359747
20201,서울중앙시장(신중앙시장),1920790,729806
20201,약수시장,468381,191463
20201,신당역,2602873,1124338
20201,약수역,1282359,576897
20201,청구역 3번,1050933,463938
20201,청구역 1번,1238284,521484
20201,장충초등학교,690095,312803
20201,약수역 7번,445584,177571
20201,장충단 고개,849686,410057
20201,장충동주민센터,862672,396490
20201,다산성곽길,612183,294795
20201,버티고개,815564,352290
20194,백학시장,1049275,406793
20194,서울중앙시장(신중앙시장),2283417,872302
20194,약수시장,449276,185999
20194,신당역,2970372,1280401
20194,약수역,1320100,593945
20194,청구역 3번,1060961,480993
20194,청구역 1번,1121229,472548
20194,장충초등학교,658053,303364
20194,약수역 7번,413536,167307
20194,장충단 고개,930607,450872
20194,장충동주민센터,896470,416765
20194,다산성곽길,646141,317882
20194,버티고개,703647,309749
20193,백학시장,996396,397414
20193,서울중앙시장(신중앙시장),1957252,731395
20193,약수시장,392893,164457
20193,신당역,2905184,1248493
20193,약수역,1456822,652016
20193,청구역 3번,1044469,464308
20193,청구역 1번,1088890,455787
20193,장충초등학교,604852,275141
20193,약수역 7번,368487,149674
20193,장충단 고개,1135702,543165
20193,장충동주민센터,846142,398728
20193,다산성곽길,546592,250192
20193,버티고개,710409,310234
20192,백학시장,1101663,442250
20192,서울중앙시장(신중앙시장),2133931,799978
20192,약수시장,298079,122906
20192,신당역,3197529,1368157
20192,약수역,1470530,661622
20192,청구역 3번,1152690,518358
20192,청구역 1번,1166638,471927
20192,장충초등학교,623656,272589
20192,약수역 7번,238769,96456
20192,장충단 고개,1127217,526471
20192,장충동주민센터,854828,394364
20192,다산성곽길,455859,205135
20192,버티고개,760197,341460
20191,백학시장,1167595,466838
20191,서울중앙시장(신중앙시장),2133308,797415
20191,약수시장,311305,128800
20191,신당역,3281799,1401350
20191,약수역,1504412,668303
20191,청구역 3번,1240929,543368
20191,청구역 1번,1191776,487418
20191,장충초등학교,684287,294774
20191,약수역 7번,245184,99318
20191,장충단 고개,1116723,521428
20191,장충동주민센터,823588,370446
20191,다산성곽길,438570,198004
20191,버티고개,775487,342808
