기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균
20191,R,전통시장,3130049,신당 미래유산 먹거리 골목형상점가,LL,다이나믹,84,44,93,48
20192,R,전통시장,3130049,신당 미래유산 먹거리 골목형상점가,LL,다이나믹,82,43,93,49
20193,R,전통시장,3130049,신당 미래유산 먹거리 골목형상점가,LL,다이나믹,82,43,93,49
20194,R,전통시장,3130049,신당 미래유산 먹거리 골목형상점가,LL,다이나믹,81,44,93,49
20201,R,전통시장,3130049,신당 미래유산 먹거리 골목형상점가,LL,다이나믹,82,44,94,49
20202,R,전통시장,3130049,신당 미래유산 먹거리 골목형상점가,LL,다이나믹,82,44,94,50
20203,R,전통시장,3130049,신당 미래유산 먹거리 골목형상점가,LL,다이나믹,81,44,95,50
20204,R,전통시장,3130049,신당 미래유산 먹거리 골목형상점가,LL,다이나믹,83,44,96,50
20211,R,전통시장,3130049,신당 미래유산 먹거리 골목형상점가,LL,다이나믹,88,42,96,50
20212,R,전통시장,3130049,신당 미래유산 먹거리 골목형상점가,LL,다이나믹,89,42,96,50
20213,R,전통시장,3130049,신당 미래유산 먹거리 골목형상점가,LL,다이나믹,91,42,96,51
20214,R,전통시장,3130049,신당 미래유산 먹거리 골목형상점가,LL,다이나믹,91,44,95,51
20221,R,전통시장,3130049,신당 미래유산 먹거리 골목형상점가,LL,다이나믹,93,45,97,51
20222,R,전통시장,3130049,신당 미래유산 먹거리 골목형상점가,LL,다이나믹,97,45,99,51
20223,R,전통시장,3130049,신당 미래유산 먹거리 골목형상점가,LL,다이나믹,98,46,101,51
20224,R,전통시장,3130049,신당 미래유산 먹거리 골목형상점가,HL,상권축소,104,46,103,51
20231,R,전통시장,3130049,신당 미래유산 먹거리 골목형상점가,HL,상권축소,108,46,104,52
20232,R,전통시장,3130049,신당 미래유산 먹거리 골목형상점가,HL,상권축소,109,46,106,52
20233,R,전통시장,3130049,신당 미래유산 먹거리 골목형상점가,HL,상권축소,114,47,107,52
20234,R,전통시장,3130049,신당 미래유산 먹거리 골목형상점가,HL,상권축소,116,47,109,52
20191,D,발달상권,3120039,신당역,LH,상권확장,86,57,93,48
20192,D,발달상권,3120039,신당역,LH,상권확장,87,58,93,49
20193,D,발달상권,3120039,신당역,LH,상권확장,86,58,93,49
20194,D,발달상권,3120039,신당역,LH,상권확장,86,58,93,49
20201,D,발달상권,3120039,신당역,LH,상권확장,86,59,94,49
20202,D,발달상권,3120039,신당역,LH,상권확장,87,59,94,50
20203,D,발달상권,3120039,신당역,LH,상권확장,88,59,95,50
20204,D,발달상권,3120039,신당역,LH,상권확장,89,59,96,50
20211,D,발달상권,3120039,신당역,LH,상권확장,92,59,96,50
20212,D,발달상권,3120039,신당역,LH,상권확장,92,59,96,50
20213,D,발달상권,3120039,신당역,LH,상권확장,93,60,96,51
20214,D,발달상권,3120039,신당역,LH,상권확장,94,60,95,51
20221,D,발달상권,3120039,신당역,LH,상권확장,97,60,97,51
20222,D,발달상권,3120039,신당역,HH,정체,100,60,99,51
20223,D,발달상권,3120039,신당역,HH,정체,104,60,101,51
20224,D,발달상권,3120039,신당역,HH,정체,107,61,103,51
20231,D,발달상권,3120039,신당역,HH,정체,110,61,104,52
20232,D,발달상권,3120039,신당역,HH,정체,112,61,106,52
20233,D,발달상권,3120039,신당역,HH,정체,115,61,107,52
20234,D,발달상권,3120039,신당역,HH,정체,118,61,109,52
20191,A,골목상권,3110056,신당역 3번,LL,다이나믹,72,47,93,48
20192,A,골목상권,3110056,신당역 3번,LL,다이나믹,72,47,93,49
20193,A,골목상권,3110056,신당역 3번,LL,다이나믹,71,47,93,49
20194,A,골목상권,3110056,신당역 3번,LL,다이나믹,71,48,93,49
20201,A,골목상권,3110056,신당역 3번,LL,다이나믹,72,48,94,49
20202,A,골목상권,3110056,신당역 3번,LL,다이나믹,72,48,94,50
20203,A,골목상권,3110056,신당역 3번,LL,다이나믹,73,48,95,50
20204,A,골목상권,3110056,신당역 3번,LL,다이나믹,74,48,96,50
20211,A,골목상권,3110056,신당역 3번,LL,다이나믹,76,48,96,50
20212,A,골목상권,3110056,신당역 3번,LL,다이나믹,78,48,96,50
20213,A,골목상권,3110056,신당역 3번,LL,다이나믹,79,48,96,51
20214,A,골목상권,3110056,신당역 3번,LL,다이나믹,78,48,95,51
20221,A,골목상권,3110056,신당역 3번,LL,다이나믹,80,48,97,51
20222,A,골목상권,3110056,신당역 3번,LL,다이나믹,83,48,99,51
20223,A,골목상권,3110056,신당역 3번,LL,다이나믹,85,48,101,51
20224,A,골목상권,3110056,신당역 3번,LL,다이나믹,87,49,103,51
20231,A,골목상권,3110056,신당역 3번,LL,다이나믹,89,49,104,52
20232,A,골목상권,3110056,신당역 3번,LL,다이나믹,90,49,106,52
20233,A,골목상권,3110056,신당역 3번,LL,다이나믹,90,50,107,52
20234,A,골목상권,3110056,신당역 3번,LL,다이나믹,94,50,109,52