구분,팝업스토어,기간,시작 날짜,종료 날짜,권역,위치,태그
F&B,우무 팝업스토어,24.01.01 - 24.02.29,24.01.01,24.02.29,제주,제주특별자치도 제주시 공항로 2 제주국제공항 1층 3번 게이트 앞,"푸딩, 디저트, 굿즈, 콜라보, 뷰티, 코스메틱, 비누, 선물, 전시, 체험"
뷰티,셀바티코 팝업스토어 in 더현대서울,24.01.02 - 24.01.11,24.01.02,24.01.11,여의도,서울특별시 영등포구 여의대로 108 파크원 1층 GATE 3 앞,"바디케어, 비누, 캔들, 바디워시, 핸드워시, 핸드크림, 향, 유럽, 럭셔리"
뷰티,셀바티코 팝업스토어 in 현대무역점,24.01.02 - 24.01.21,24.01.02,24.01.21,강남,서울특별시 강남구 테헤란로 517 현대백화점 무역센터점 7층 에스컬레이터 옆 보이드,"바디케어, 비누, 캔들, 바디워시, 핸드워시, 핸드크림, 향, 유럽, 럭셔리"
뷰티,해피새해용 팝업,24.01.02 - 24.01.31,24.01.02,24.01.31,성수,서울특별시 성동구 아차산로11길 7 (주)아세아이엔티 아모레성수,"새해, 선물, 뷰티, 코스메틱, 전시, 메이크업, 체험"
F&B,레자미오네뜨 팝업스토어,24.01.02 - 24.01.24,24.01.02,24.01.24,강남,서울특별시 서초구 신반포로 176 센트럴시티 신세계백화점 강남점 B1,"붕어빵, 크붕이, 베이커리, 빵, 디저트"
캐릭터/IP,테디베어 팝업스토어,24.01.02 - 24.02.29,24.01.02,24.02.29,명동,서울특별시 중구 남대문로 67 롯데영플라자 롯데백화점 본점 영플라자 5F,"인형, 굿즈, 포토존, 캐릭터, 곰"
반려동물/식물,PETHROOM POP-UP STORE,24.01.03 - 24.01.23,24.01.03,24.01.23,강남,서울특별시 강남구 압구정로 343 갤러리아백화점 5층,"강아지, 고양이, 반려동물, 애견용품"
뷰티,토일렛페이퍼뷰티 팝업스토어 in 갤러리아 압구정,24.01.03 - 24.01.19,24.01.03,24.01.19,강남,서울특별시 강남구 압구정로 407 갤러리아백화점 명품관EAST 1층,"샴푸, 핸드워시, 바디워시, 캔들, 비누, 립밤, 디퓨저, 향, 파자마"
뷰티,셀바티코 팝업스토어 in 현대천호점,24.01.03 - 24.01.28,24.01.03,24.01.28,강동,서울특별시 강동구 천호대로 1005 현대백화점 1층 행사장,"바디케어, 비누, 캔들, 바디워시, 핸드워시, 핸드크림, 향, 유럽"
향수/향,로렌조 빌로레시 팝업스토어 in 갤러리아 압구정,24.01.03 - 24.01.19,24.01.03,24.01.19,강남,서울특별시 강남구 압구정로 407 갤러리아백화점 1F 팝업매장,"향수, 향, 룸스프레이, 캔들, 유럽, 럭셔리"
캐릭터/IP,무무씨네 편의점 in 성수,24.01.03 - 24.01.16,24.01.03,24.01.16,성수,서울특별시 성동구 연무장길 38-1 엘리자베스빌딩 도어투성수,"GS25, 편의점, 굿즈, 캐릭터, 여우"
뷰티,fwee : Feel your moment,24.01.04 - 24.01.17,24.01.04,24.01.17,여의도,서울특별시 영등포구 여의대로 108 파크원 B2층 EAST 팝업존,"쿠션, 화장품, 뷰티, 블러셔, 립, 코스메틱, 메이크업, 립앤치크"
F&B,오우드 팝업스토어 in 신세계백화점 강남점,24.01.04 - 24.01.25,24.01.04,24.01.25,강남,서울특별시 서초구 신반포로 176 센트럴시티 신세계백화점 강남점 B1,"오우드, 디저트, 브리오슈, 베이커리, 카페, 브리오슈번, 빵"
엔터테인먼트,케이팝머치 팝업스토어,24.01.04 - 24.01.14,24.01.04,24.01.14,강남,서울특별시 강남구 강남대로 426 진우빌딩 일상비일상의틈 5층,"케이팝, 아이돌, 포토존, 굿즈, 럭키드로우"
패션/잡화,SyndromeZ SEOUL POP-UP,24.01.04 - 24.01.07,24.01.04,24.01.07,성수,서울특별시 성동구 성수이로 74 (주)서울지류유통,"패션, 의류, 퓨처리즘, AI, 컬렉션, 공연, 토크쇼, 남성, 지올팍, 궤도"
패션/잡화,RSSC X 더현대서울 팝업스토어,24.01.04 - 24.01.10,24.01.04,24.01.10,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 B2층 WEST ZONE,"패션, 의류, 디자이너, 컬렉션, 선공개, 럭키드로우, 캐주얼, 자켓, 카고, 레더, 가죽, 유니섹스"
캐릭터/IP,<키크니와 값진 물건들> 팝업스토어,24.01.04 - 24.01.10,24.01.04,24.01.10,여의도,서울특별시 영등포구 여의대로 108 파크원 B2 아이코닉존,"캐릭터, 굿즈, 일러스트"
캐릭터/IP,브레드이발소 팝업스토어,24.01.04 - 24.01.17,24.01.04,24.01.17,강남,서울특별시 강남구 봉은사로 524 코엑스인터콘티넨탈서울 스타필트 코엑스몰 지하 1층 메가박스 앞,"캐릭터, 굿즈, 애니메이션, 만화, 포토존"
캐릭터/IP,<더 퍼스트 슬램덩크> Thanks pop-up,24.01.04 - 24.01.31,24.01.04,24.01.31,홍대,서울특별시 마포구 양화로 188 애경타워 AK플라자 홍대 3층 AK플라자 홍대 3층,"캐릭터, 굿즈, 애니메이션, 만화, 포토존, 전시"
뷰티,BALANX 팝업스토어,24.01.05 - 24.01.18,24.01.05,24.01.18,대구,대구광역시 중구 달구벌대로 2077 (현대백화점) 더현대대구 지하2층 크리에이티브라운지,"뷰티, 코스메틱, 데이터, AI, 스킨케어, 뷰티테크, 피부진단, 두피"
F&B,니커버커 베이글 팝업스토어,24.01.05 - 24.01.11,24.01.05,24.01.11,강남,서울특별시 강남구 테헤란로 517 현대백화점 지하1층 에스컬레이터 옆 행사장,"베이글, 샌드위치, 디저트, 베이커리, 빵, 브런치"
F&B,근제베이커리 팝업스토어,24.01.05 - 24.01.11,24.01.05,24.01.11,강남,서울특별시 강남구 테헤란로 517 현대백화점 지하1층 에스컬레이터 옆 행사장,"디저트, 빵, 수플레, 베이커리, 카스테라"
F&B,더 오리지날 골드바 위스키 팝업스토어,24.01.05 - 24.01.14,24.01.05,24.01.14,여의도,서울특별시 영등포구 여의대로 108 파크원 지하 1층 중앙에스컬레이터 옆,"주류, 위스키, 이니셜, 각인, 금괴, 골드바, 발렌타인데이"
F&B,브리스피자 팝업스토어,24.01.05 - 24.01.14,24.01.05,24.01.14,여의도,서울특별시 영등포구 여의대로 108 파크원 지하 1층 식품행사장,"피자, 시카고피자, 조각피자, 가성비, 치즈"
F&B,링고노모리 팝업스토어,24.01.05 - 24.01.14,24.01.05,24.01.14,여의도,서울특별시 영등포구 여의대로 108 파크원 지하 1층 식품행사장,"디저트, 링고아메, 캔디애플, 일본, 사과, 사과사탕, 탕후루"
F&B,XURRERIA 츄러스 팝업스토어,24.01.05 - 24.01.14,24.01.05,24.01.14,여의도,서울특별시 영등포구 여의대로 108 파크원 지하 1층 식품행사장,"츄러스, 디저트, 스페인, 커피, 베이커리"
F&B,오벤져스 붕어빵 베이커리 팝업스토어,24.01.05 - 24.01.17,24.01.05,24.01.17,잠실,서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰 B1층 도토리숲 앞 팝업,"붕어빵, 디저트, 베이커리, 크로플, 크루아상, 캐릭터, 오리, 굿즈"
패션/잡화,팔시보 X 리멤버제인 팝업스토어,24.01.05 - 24.01.07,24.01.05,24.01.07,홍대,서울특별시 마포구 동교로38안길 17 수앤지빌 1층,"패션, 잡화, 가방, 디자이너, 새들백, 핸드백, 가죽, 백"
패션/잡화,MOAT POP-UP STORE,24.01.05 - 24.01.11,24.01.05,24.01.11,강남,서울특별시 강남구 테헤란로 517 현대백화점 무역센터점 5F 팝업존,"패션, 의류, 디자이너, 컬렉션 코트, 자켓, 가디건, 여성, 트렌디, 페미닌, 하이엔드"
패션/잡화,Fluffy Keyring News 2024,24.01.05 - 24.02.29,24.01.05,24.02.29,종로,서울특별시 종로구 필운대로 6-1 아이에스빌딩 2층,"가방, 잡화, 소품, 굿즈, 키링, 인형, 소품샵"
향수/향,록시땅 에스파스 퍼품 바 팝업스토어,24.01.05 - 24.02.28,24.01.05,24.02.28,한남,서울특별시 용산구 이태원로 237 록시땅 에스파스 스토어,"향수, 향, 플라워, 컬렉션, 퍼퓸바"
F&B,정오모찌 팝업스토어,24.01.06 - 24.02.05,24.01.06,24.02.05,강남,서울특별시 강남구 테헤란로 517 현대백화점 B1층,"모찌, 찹쌀떡, 디저트, 떡, 베이커리, 프리미엄, 선물"
패션/잡화,틴스튜디오 팝업스토어,24.01.06 - 24.01.07,24.01.06,24.01.07,성수,서울특별시 성동구 성수이로18길 20,"패션, 의류, 공연, 제작, 체험, 플리마켓, 전시, 포토부스, 후드티, 티셔츠, 유니섹스"
문화/예술,GLIMMERING WAVES 세리세라 전시 팝업,24.01.09 - 24.01.22,24.01.09,24.01.22,성수,서울특별시 성동구 연무장17길 10 B1 DDMMYY,"도자기, 전시, 예술, 작품"
뷰티,헤라 서울 레드 팝업,24.01.09 - 24.02.28,24.01.09,24.02.28,성수,서울특별시 성동구 아차산로11길 7 (주)아세아이엔티 아모레성수,"뷰티, 코스메틱, 메이크업, 립스틱"
캐릭터/IP,벨리곰 팝업스토어 in 부산 센텀 롯백,24.01.10 - 24.01.31,24.01.10,24.01.31,부산,부산광역시 해운대구 센텀남대로 59 롯데백화점센텀시티점 롯데백화점샌텀시티점 1층,"캐릭터, 굿즈, 곰, 인형, 포토존"
문화/예술,비행 BE+行,24.01.11 - 24.01.30,24.01.11,24.01.30,건대,서울특별시 광진구 천호대로 549 지타워 지하 1층,"전시, 그림, 작품, 예술, 디자인, 작가"
스포츠/건강,풋볼스탠다드 x 롯데프리미엄아울렛(기흥점) 팝업스토어,24.01.11 - 24.01.24,24.01.11,24.01.24,기타,경기도 용인시 기흥구 신고매로 124 롯데프리미엄아울렛 기흥점 B1층,"스포츠, 축구, 패션, 의류, 티셔츠, 체험, 굿즈"
엔터테인먼트,미노이 팝업스토어,24.01.11 - 24.01.17,24.01.11,24.01.17,여의도,서울특별시 영등포구 여의대로 108 파크원 B2F POP-UP ICONIC,"아티스트, 가수, 굿즈, 티셔츠, 키링"
패션/잡화,BAUF 바우프 팝업스토어,24.01.11 - 24.01.17,24.01.11,24.01.17,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대서울 B2 WEST ZONE,"패션, 의류, 모자, 자켓, 후드티, 컬렉션, 디자이너, 캐주얼, 트루퍼햇, 유니섹스"
패션/잡화,쿨키튼 팝업스토어,24.01.11 - 24.01.24,24.01.11,24.01.24,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대서울 지하 2층 아이코닉존,"패션, 의류, 여성, 가방, 캐주얼, 콜라보, 잡화, 편집샵"
캐릭터/IP,투니크 합정점X개구리 중사 케로로 팝업,24.01.11 - 24.02.12,24.01.11,24.02.12,홍대,서울특별시 마포구 양화로 78-17 2층,"디저트, 캐릭터, 콜라보, 애니메이션, 만화, 카페, 굿즈, 베이커리"
리빙/라이프스타일,Service Manual 팝업스토어,24.01.12 - 24.01.28,24.01.12,24.01.28,강남,서울특별시 강남구 강남대로162길 35 1층 나이스웨더 마켓,"빈티지, 굿즈, 잡화, 소품"
문화/예술,유실물 보관소,24.01.12 - 24.01.28,24.01.12,24.01.28,성수,서울특별시 성동구 서울숲6길 8-1 수덕빌딩 3층,"전시, 일러스트, 그림, 감성"
뷰티,쿠오카X뵈르 팝업스토어,24.01.12 - 24.02.23,24.01.12,24.02.23,성수,서울특별시 성동구 성수동2가 316-20 1층,"바디케어, 핸드크림, 향, 콜라보"
F&B,누하스 X 붕어유랑단 팝업스토어,24.01.12 - 24.01.14,24.01.12,24.01.14,성수,서울특별시 성동구 상원1길 7 YM타워 1층,"붕어빵, 베이커리, 디저트, 안마의자, 힐링, 체험"
F&B,올드페리도넛 팝업스토어,24.01.12 - 24.01.21,24.01.12,24.01.21,대학로,서울특별시 성북구 동소문로 315 현대백화점미아점 지하 1층 식품관,"도넛, 디저트, 베이커리, 카페, 빵"
F&B,오뚜기X귤메달 <FIND YOUR FAVORITE CITRUS>,24.01.12 - 24.02.15,24.01.12,24.02.15,강남,"서울특별시 강남구 봉은사로51길 19 지하 1층, 지상 1층","주스, 과일, 음식, 디저트, 시트러스, 콜라보, 전시, 체험"
엔터테인먼트,RIIZE UP 팝업스토어,24.01.12 - 24.01.18,24.01.12,24.01.18,신촌,서울특별시 서대문구 신촌로 83 현대백화점신촌점 U-PLEX B2F,"케이팝, 아이돌, SM, 굿즈, 전시"
엔터테인먼트,Aespa : My First Page 팝업스토어,24.01.12 - 24.01.21,24.01.12,24.01.21,잠실,서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰 1F 아트리움,"케이팝, 아이돌, SM, 굿즈, 포토존, 럭키드로우"
엔터테인먼트,한국 최초 뮤지컬 특별전,24.01.12 - 24.06.30,24.01.12,24.06.30,대구,대구광역시 달서구 두류공원로 200,"뮤지컬, 문화, 공연, 음악, 전시, 체험"
패션/잡화,“척하면척” Chuck Archive Sale & Flea Market,24.01.12 - 24.01.21,24.01.12,24.01.21,성수,서울특별시 성동구 연무장길 99 오우드 카페 옆,"패션, 의류, 스트릿, 캐주얼, 유니섹스, 플리마켓, 세일, 럭키드로우"
패션/잡화,무신사 테라스 성수 개러지 세일,24.01.12 - 24.01.24,24.01.12,24.01.24,성수,서울특별시 성동구 아차산로 104 스탈릿성수 3층(성수역 4번 출구 구름다리 이용 권장),"패션, 의류, 데일리, 캐주얼, 남성, 세일"
캐릭터/IP,오벤져스 어드벤쳐 in BUSAN,24.01.12 - 24.03.06,24.01.12,24.03.06,부산,부산광역시 중구 광복로 62 카카오프렌즈 부산 플래그십스토어,"캐릭터, 오리, 굿즈, 이모티콘"
문화/예술,"그대, 그곳에 있었다 폼페이 유물전",24.01.13 - 24.05.06,24.01.13,24.05.06,여의도,서울특별시 영등포구 여의대로 108 파크원 6층 ALT.1,"전시, 미술, 고대, 조각상, 문화, 예술, 유물, 역사"
리빙/라이프스타일,성수따겨마켓,24.01.14 - 24.01.14,24.01.14,24.01.14,성수,"서울특별시 성동구 서울숲4길 12-22 서울숲 구욱희씨 1, 2층","플리마켓, 기부, 로컬"
F&B,Luke's Lobster 팝업스토어 in 더현대서울,24.01.15 - 24.01.21,24.01.15,24.01.21,여의도,서울특별시 영등포구 여의대로 108 파크원 B1층 푸드마켓 맞은편,"씨푸드, 해산물, 음식, 레스토랑, 랍스터"
F&B,Luke's Lobster 팝업스토어 in 신세계백화점 강남점,24.01.15 - 24.01.21,24.01.15,24.01.21,강남,서울특별시 서초구 신반포로 176 센트럴시티 B1층,"씨푸드, 해산물, 음식, 레스토랑, 랍스터"
F&B,오나츠 팝업스토어,24.01.15 - 24.01.21,24.01.15,24.01.21,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대서울 지하 1층,"도너츠, 찹쌀, 제주, 수제크림, 디저트, 베이커리"
F&B,노리마끼 팝업스토어,24.01.15 - 24.01.31,24.01.15,24.01.31,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대서울 지하 1층,"노리마끼, 초밥, 스시, 핸드롤, 일식, 음식"
F&B,푸루푸루푸딩 딸기 페스타,24.01.15 - 24.02.29,24.01.15,24.02.29,강남,서울특별시 강남구 테헤란로 517 현대백화점 지하 1층,"푸딩, 디저트, 딸기, 과일, 페스타"
패션/잡화,켈리즈 팝업스토어,24.01.15 - 24.01.21,24.01.15,24.01.21,여의도,서울특별시 영등포구 여의대로 108 파크원 지하 1층 이벤트홀,"가방, 업사이클링, 리사이클링, 친환경, 세일"
패션/잡화,STAND OIL 익스클루시브 컬렉션 팝업,24.01.15 - 24.01.28,24.01.15,24.01.28,성수,서울특별시 성동구 성수이로 97 EMPTY,"패션, 잡화, 가방, 디자이너, 숄더백, 가죽, 컬렉션, 백, 트렌디"
캐릭터/IP,마녀배달부 키키 카페 팝업스토어,24.01.15 - 24.02.14,24.01.15,24.02.14,잠실,서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰 B1 팝업스토어 B1 팝업스토어,"캐릭터, 애니메이션, 만화, 지브리, 영화, 굿즈, 카페, 디저트, 포토존, 일러스트"
패션/잡화,NONENON 팝업스토어,24.01.16 - 24.02.08,24.01.16,24.02.08,홍대,서울특별시 마포구 양화로 188 애경타워 AK PLAZA 홍대 1F,"패션, 잡화, 주얼리, 액세서리, 반지, 목걸이, 귀걸이, 팔찌, 전시"
캐릭터/IP,아늑한 곽철이네,24.01.16 - 24.02.11,24.01.16,24.02.11,홍대,서울특별시 마포구 어울마당로 65 상상마당빌딩 1층,"캐릭터, 오리, 굿즈, 이모티콘, 소품"
문화/예술,Garden of Dreamer,24.01.17 - 24.02.12,24.01.17,24.02.12,강서,서울특별시 양천구 목동동로 257 (현대하이페리온) 현대백화점 목동점 7층 보타닉 하우스,"작품, 전시, 예술, 작품, 포토부스, 식물, 예술가"
리빙/라이프스타일,니울 걱정수거함,24.01.18 - 24.01.22,24.01.18,24.01.22,성수,서울특별시 성동구 연무장길 13 온더무브 (피치스도원 근처 1분 거리),"업사이클링, 리사이클링, 친환경, 포토존, 키링"
문화/예술,미구엘 슈발리에 디지털 뷰티 시즌2,24.01.18 - 24.02.21,24.01.18,24.02.21,종로,서울특별시 종로구 인사동9길 26 아라아트센터 지하 1층,"전시, 예술, 공연, 무용, 작품, 미디어아트, 콜라보"
F&B,커티삭 팝업스토어,24.01.18 - 24.01.29,24.01.18,24.01.29,성수,서울특별시 성동구 연무장길 38-1 엘리자베스빌딩 1층,"위스키, 주류, 체험, 이벤트, 시음, 굿즈"
엔터테인먼트,TWS : THE MUSEUM VISITOR,24.01.18 - 24.01.31,24.01.18,24.01.31,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 B2 아이코닉 팝업존,"케이팝, 아이돌, 플레디스, 굿즈, 포토존"
패션/잡화,리에떼 팝업스토어 in 더현대서울,24.01.18 - 24.01.24,24.01.18,24.01.24,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 B2 POP-UP EAST ZONE,"패션, 의류, 여성, 캐주얼"
패션/잡화,OVERDOT X THE HYUNDAI SEOUL,24.01.18 - 24.01.24,24.01.18,24.01.24,여의도,서울특별시 영등포구 여의대로 108 파크원 B2 WEST ZONE,"패션, 의류, 캐주얼, 유니섹스, 디자이너, 트렌디"
캐릭터/IP,도구리 생일카페 in 합정,24.01.18 - 24.01.28,24.01.18,24.01.28,홍대,서울특별시 마포구 독막로 27 브라운시티 로스팅랩,"캐릭터, 인형, 너구리, 굿즈, 생일카페, 카페, 이벤트"
캐릭터/IP,도구리 생일카페 in 성수,24.01.18 - 24.01.28,24.01.18,24.01.28,성수,서울특별시 성동구 성수일로 56 성수동BY센터 무브모브 성수,"캐릭터, 인형, 너구리, 굿즈, 생일카페, 카페, 이벤트"
리빙/라이프스타일,알로소 윈터리빙룸,24.01.19 - 24.03.03,24.01.19,24.03.03,성수,서울특별시 성동구 아차산로 3 성수동 아파트형 공장 두앤캔 하우스 1층 오디너리하우스,"가구, 소파, 의자, 책상, 민음사, 독서, 힐링, 체험, 인테리어"
문화/예술,김김랩 <우는 순간에도 넌 빛나고 있어>,24.01.19 - 24.02.17,24.01.19,24.02.17,성수,서울특별시 성동구 연무장17길 10 LCDC SEOUL 3층 Doors,"전시, 미술, 아이스크림, 작품, 디자인, 일러스트"
F&B,서울스트로베리페스타,24.01.19 - 24.01.21,24.01.19,24.01.21,강남,서울특별시 강남구 남부순환로 3104 SETEC,"딸기, 페스타, 디저트, 음료, 과일, 일러스트, 잡화, 소품"
전자제품/자동차,Philips : The Gentle Shaver Gallery,24.01.19 - 24.01.28,24.01.19,24.01.28,성수,서울특별시 성동구 연무장7길 7 1층,"면도기, 프링글스, 체험, 전시, 포토부스, 이벤트"
전자제품/자동차,갤럭시 S24 팝업스토어 <travel around the world>,24.01.19 - 24.01.29,24.01.19,24.01.29,강남,"서울특별시 강남구 강남대로 426 진우빌딩 일상비일상의틈, 1층 & B1층","갤럭시, 삼성, 스마트폰, 이벤트, 해외, AI"
패션/잡화,핍스마트 장날 팝업스토어,24.01.19 - 24.02.07,24.01.19,24.02.07,강남,서울특별시 서초구 신반포로 176 센트럴시티 신세계백화점 강남점 8F,"빈티지, 굿즈, 소품, 잡화, 패션, 의류, 포토부스"
패션/잡화,애니바디 X 산리오 캐릭터즈 콜라보 팝업스토어,24.01.19 - 24.02.15,24.01.19,24.02.15,홍대,"서울특별시 마포구 양화로 188 애경타워 홍대 AK플라자 4층, 스파오 매장 앞","산리오, 캐릭터, 홈웨어, 파자마, 잠옷, 콜라보"
패션/잡화,젠틀몬스터 ‪<2024 컬렉션 ‘젠틀 젤리‘ 팝업>,24.01.19 - 24.02.27,24.01.19,24.02.27,강남,서울특별시 강남구 압구정로46길 50 QUEENMAMA MARKET 하우스 도산,"패션, 잡화, 선글라스, 안경, 트렌디, 컬렉션, 젤리, 전시, 미디어아트"
캐릭터/IP,플레이인더박스 X 와사비베어 팝업스토어,24.01.19 - 24.02.19,24.01.19,24.02.19,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대서울 5층,"인형, 피규어, 이벤트, 굿즈, 포토부스, 캐릭터, 소품"
캐릭터/IP,또앙찌네 팝업스토어,24.01.19 - 24.03.07,24.01.19,24.03.07,강남,서울특별시 서초구 강남대로 429 카카오프렌즈 강남 플래그십스토어,"토끼, 캐릭터, 굿즈, 이모티콘, 일러스트"
F&B,갤럭시 스튜디오 FOOD - 태국 살라댕템플,24.01.20 - 24.02.04,24.01.20,24.02.04,성수,서울특별시 성동구 성수이로16길 32 (주)MG전자 살라댕템플,"갤럭시, 삼성, 스마트폰, 이벤트, 레스토랑, AI, 음식, 해외, 콜라보, 디저트"
F&B,갤럭시 스튜디오 FOOD - 프랑스 살라댕앰버시,24.01.20 - 24.02.04,24.01.20,24.02.04,한남,서울특별시 용산구 회나무로35길 26 살라댕앰버시,"갤럭시, 삼성, 스마트폰, 이벤트, 레스토랑, AI, 음식, 해외, 콜라보, 디저트"
F&B,갤럭시 스튜디오 FOOD - 홍콩 창창,24.01.20 - 24.02.04,24.01.20,24.02.04,종로,서울특별시 종로구 창신12길 37 창창,"갤럭시, 삼성, 스마트폰, 이벤트, 레스토랑, AI, 음식, 해외, 콜라보, 디저트"
패션/잡화,GROVE ARCHIVE SALE in SUNGSU,24.01.20 - 24.01.21,24.01.20,24.01.21,성수,서울특별시 성동구 연무장15길 11 태광산업 에스팩토리 D동,"패션, 의류, 디자이너, 트렌디, 캐주얼, 클래식, 세일"
문화/예술,PEARY OFF : Arts Korea Lab X Project Team Pearl,24.01.22 - 24.01.26,24.01.22,24.01.26,종로,서울특별시 종로구 율곡로 6 트윈 트리 빌딩 A동 아트코리아랩 6층 쇼룸,"광진전자, 퓨처리즘, 전시, 예술"
뷰티,Bobbi Brown Studio from New York,24.01.22 - 24.01.28,24.01.22,24.01.28,강남,서울특별시 강남구 테헤란로 517 현대백화점 1층,"뷰티, 코스메틱, 체험, 포토부스, 스킨케어"
